[   9321]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xinclude.xsd by request of index fileIncludes 
[   9321]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xslt-1_0.xsd by request of index fileIncludes 
[   9322]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xslt-2_0.xsd by request of index fileIncludes 
[   9322]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/relaxng/resources/patches/common-ext.rnc by request of index fileIncludes 
[   9323]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml-mobile/xhtmlmp12-form-1.mod by request of index FrameworkDetectionIndex 
[   9323]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml11/xhtml-base-1.mod by request of index FrameworkDetectionIndex 
[   9324]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/XMLSchema-1_1/XMLSchema.xsd by request of index fileIncludes 
[   9324]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/XMLSchema-1_1/XMLSchema-hasFacetAndProperty.xsd by request of index fileIncludes 
[   9324]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/XMLSchema.dtd by request of index XmlTagNames 
[   9325]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/XMLSchema.xsd by request of index fileIncludes 
[   9325]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/relaxng/resources/patches/0004_ping.patch by request of index FrameworkDetectionIndex 
[   9325]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/datatypes.dtd by request of index XmlTagNames 
[   9326]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml11/xhtml-edit-1.mod by request of index FrameworkDetectionIndex 
[   9326]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml-lat1.ent by request of index FrameworkDetectionIndex 
[   9326]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml-symbol.ent by request of index FrameworkDetectionIndex 
[   9326]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml-special.ent by request of index FrameworkDetectionIndex 
[   9327]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml1-strict.dtd by request of index XmlTagNames 
[   9327]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml1-strict.xsd by request of index fileIncludes 
[   9328]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml1-frameset.dtd by request of index XmlTagNames 
[   9328]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml1-frameset.xsd by request of index fileIncludes 
[   9329]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/relaxng/resources/patches/0001_html5.patch by request of index FrameworkDetectionIndex 
[   9329]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml11/xhtml-form-1.mod by request of index FrameworkDetectionIndex 
[   9329]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml-mobile/xhtml-mobile10-flat.dtd by request of index XmlTagNames 
[   9330]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/plugin-repository.dtd by request of index XmlTagNames 
[   9330]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/XMLSchema-instance.xsd by request of index fileIncludes 
